Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Anchor,Industry,Business Description,Company Website,Started in,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped,Part of Match off,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Deal Has Conditions,Royalty Percentage,Royalty Recouped Amount,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ritesh Investment Amount,Ritesh Investment Equity,Ritesh Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Ritesh Present,Amit Present,Guest Present
2,Haqdarshak,6,169,2-Jan-23,10-Mar-23,9-Jan-23,Determined Entrepreneurs,Rahul Dua,Business Services,Platform to know about welfare schemes for MSMEs,https://haqdarshak.com/,2016.0,2.0,1.0,1.0,,0.0,Middle,Shimla,Himachal Pradesh,,,,,,,,,,,100.0,0.5,20000.0,1,1.0,100.0,2.0,,,5000.0,3.0,,,,,33.33,0.666,,,,,,,,33.33,0.666,,33.33,0.666,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,Bhaskar'sPuranpoliGhar,6,170,2-Jan-23,10-Mar-23,9-Jan-23,Determined Entrepreneurs,Rahul Dua,Food and Beverage,Varieties of Puranpoli snacks,http://bhaskarspuranpolighar.in/,,3.0,3.0,,,0.0,Middle,Thane,Maharashtra,,,,,,,,,,,75.0,1.0,7500.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,GunjanAppsStudios,7,171,2-Jan-23,10-Mar-23,10-Jan-23,Shaandar Businesses,Rahul Dua,Technology/Software,CHILDREN'S PLAYFUL LEARNING PARTNER,https://gunjanappstudios.com/,,2.0,1.0,1.0,,1.0,Middle,Kolkata,West Bengal,2400.0,,,,,,,,,,250.0,1.0,25000.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,TheSimplySalad,7,172,2-Jan-23,10-Mar-23,10-Jan-23,Shaandar Businesses,Rahul Dua,Food and Beverage,Freshly chopped salads,https://simplysalad.com/,,2.0,1.0,1.0,,0.0,Young,Ahmedabad,Gujarat,,,,,,,,,,,30.0,10.0,300.0,1,1.0,30.0,10.0,,,300.0,2.0,,,,,,,,15.0,5.0,,,,,15.0,5.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,AyuSynk,7,173,2-Jan-23,10-Mar-23,10-Jan-23,Shaandar Businesses,Rahul Dua,Medical/Health,Digital Stethoscopes,https://www.ayudevices.com/,2017.0,3.0,3.0,,,0.0,Middle,Mumbai,Maharashtra,,,,,,,,,,,100.0,1.5,6666.666667,1,1.0,50.0,3.5,50.0,10.0,1428.571429,1.0,,,,,50.0,3.5,50.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,AtypicalAdvantage,8,174,2-Jan-23,10-Mar-23,11-Jan-23,Investment with Intent,Rahul Dua,Technology/Software,Platform for persons with disabilities,https://atypicaladvantage.in/,2020.0,1.0,1.0,,,0.0,Middle,Jamshedpur,Jharkhand,,,,,,,,,,,30.0,1.0,3000.0,1,1.0,30.0,3.0,,,1000.0,2.0,,,,,15.0,1.5,,,,,,,,15.0,1.5,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,HouseOfChikankari,8,175,2-Jan-23,10-Mar-23,11-Jan-23,Investment with Intent,Rahul Dua,Beauty/Fashion,HANDMADE BY ARTISANS OF LUCKNOW,https://www.houseofchikankari.in/,2020.0,2.0,,2.0,,0.0,Middle,Delhi,Delhi,,,,,,,,,,,75.0,1.0,7500.0,1,1.0,75.0,3.75,,,2000.0,2.0,,,,,,,,,,,,,,37.5,1.875,,37.5,1.875,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,MagicOfMemories,8,176,2-Jan-23,10-Mar-23,11-Jan-23,Investment with Intent,Rahul Dua,Beauty/Fashion,DNA Jewllery,https://www.themagicofmemories.com/,2019.0,1.0,,1.0,,0.0,Middle,Delhi,Delhi,,,,,,,,,,,25.0,5.0,500.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,Paradyes,9,177,2-Jan-23,10-Mar-23,12-Jan-23,Invest In Lifestyle,Rahul Dua,Beauty/Fashion,Semi Permanent Hair Color,https://www.birdsofparadyes.com/,2020.0,2.0,1.0,1.0,,1.0,Young,Ahmedabad,Gujarat,350.0,,,,,,,,,,65.0,1.0,6500.0,1,1.0,65.0,2.0,,,3250.0,2.0,,,,,,,,32.5,1.0,,,,,32.5,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,Nestroots,9,178,2-Jan-23,10-Mar-23,12-Jan-23,Invest In Lifestyle,Rahul Dua,Lifestyle/Home,"House of design, aesthetics and elegance",https://www.nestroots.com/,,1.0,,1.0,,0.0,Middle,Delhi,Delhi,,,,,,,,,,,50.0,1.0,5000.0,1,1.0,50.0,2.0,,,2500.0,1.0,,,,,50.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
